building_idx,row,col,x,y,poi_count,poi_diversity,reachable_area_m2,reachable_buildings,reachable_streets,poi_types
1456054,2042,2681,291997.5,5034623.5,793,7,30517.0,0,30517,"{'CASA': 354, 'MAGAZZINO': 31, 'MIXED': 137, 'BOTTEGA': 206, 'INVIAMENTO': 14, 'OTHER': 19, 'TRAGHETTO': 14}"
1062284,1775,1671,290987.5,5034890.5,1052,7,30101.0,0,30101,"{'MIXED': 165, 'CASA': 706, 'BOTTEGA': 99, 'MAGAZZINO': 42, 'INVIAMENTO': 27, 'TRAGHETTO': 2, 'OTHER': 4}"
1704916,2214,3820,293136.5,5034451.5,1212,6,36677.0,0,36677,"{'CASA': 1050, 'BOTTEGA': 38, 'INVIAMENTO': 10, 'MIXED': 73, 'MAGAZZINO': 19, 'OTHER': 13}"
511028,1330,2771,292087.5,5035335.5,301,7,7063.0,0,7063,"{'CASA': 217, 'BOTTEGA': 11, 'TRAGHETTO': 22, 'MIXED': 38, 'INVIAMENTO': 1, 'OTHER': 2, 'MAGAZZINO': 10}"
1734778,2242,1596,290912.5,5034423.5,720,6,20027.0,0,20027,"{'CASA': 540, 'BOTTEGA': 28, 'OTHER': 16, 'MAGAZZINO': 14, 'MIXED': 94, 'INVIAMENTO': 24}"
954824,1704,2087,291403.5,5034961.5,2611,7,44570.0,0,44570,"{'CASA': 1071, 'MAGAZZINO': 181, 'MIXED': 289, 'BOTTEGA': 886, 'INVIAMENTO': 20, 'OTHER': 19, 'TRAGHETTO': 61}"
437300,1256,1596,290912.5,5035409.5,1410,6,35395.0,0,35395,"{'INVIAMENTO': 13, 'CASA': 826, 'MAGAZZINO': 16, 'BOTTEGA': 37, 'MIXED': 89, 'OTHER': 3}"
1103662,1805,4022,293338.5,5034860.5,0,0,3231.0,0,3231,{}
1779484,2288,3678,292994.5,5034377.5,1022,6,31547.0,0,31547,"{'CASA': 825, 'INVIAMENTO': 13, 'BOTTEGA': 47, 'MAGAZZINO': 25, 'MIXED': 96, 'OTHER': 7}"
1228768,1890,2040,291356.5,5034775.5,1134,7,29633.0,0,29633,"{'CASA': 756, 'MIXED': 141, 'OTHER': 22, 'BOTTEGA': 97, 'MAGAZZINO': 20, 'INVIAMENTO': 33, 'TRAGHETTO': 39}"
1425011,2020,1674,290990.5,5034645.5,516,7,11289.0,0,11289,"{'CASA': 424, 'MIXED': 34, 'MAGAZZINO': 20, 'INVIAMENTO': 10, 'BOTTEGA': 19, 'OTHER': 6, 'TRAGHETTO': 2}"
1390638,1995,3110,292426.5,5034670.5,808,7,38948.0,0,38948,"{'BOTTEGA': 95, 'MIXED': 133, 'INVIAMENTO': 12, 'TRAGHETTO': 12, 'CASA': 505, 'OTHER': 10, 'MAGAZZINO': 32}"
1583296,2127,3573,292889.5,5034538.5,628,6,24126.0,0,24126,"{'CASA': 477, 'INVIAMENTO': 8, 'BOTTEGA': 40, 'MAGAZZINO': 23, 'MIXED': 70, 'OTHER': 5}"
11994,513,1970,291286.5,5036152.5,181,6,6355.0,0,6355,"{'CASA': 133, 'OTHER': 3, 'MAGAZZINO': 11, 'MIXED': 27, 'BOTTEGA': 4, 'INVIAMENTO': 2}"
