building_idx,row,col,x,y,poi_count,poi_diversity,reachable_area_m2,reachable_buildings,reachable_streets,poi_types
1819229,2358,1652,290968.5,5034307.5,62,5,25400.0,0,25400,"{'MIXED': 7, 'CASA': 49, 'OTHER': 1, 'INVIAMENTO': 1, 'BOTTEGA': 4}"
1341011,1960,4040,293356.5,5034705.5,39,4,13486.0,0,13486,"{'CASA': 29, 'BOTTEGA': 3, 'INVIAMENTO': 4, 'MIXED': 3}"
160379,843,1550,290866.5,5035822.5,152,6,27630.0,0,27630,"{'CASA': 93, 'MIXED': 18, 'BOTTEGA': 21, 'INVIAMENTO': 3, 'OTHER': 8, 'MAGAZZINO': 2}"
1899649,2496,1687,291003.5,5034169.5,80,5,31093.0,0,31093,"{'BOTTEGA': 4, 'INVIAMENTO': 4, 'MIXED': 8, 'CASA': 63, 'OTHER': 1}"
63832,653,2167,291483.5,5036012.5,0,0,35.0,0,35,{}
50171,622,1114,290430.5,5036043.5,27,3,15937.0,0,15937,"{'CASA': 19, 'MIXED': 3, 'BOTTEGA': 4}"
1043982,1761,3384,292700.5,5034904.5,16,2,13962.0,0,13962,"{'CASA': 14, 'MIXED': 2}"
332145,1126,2377,291693.5,5035539.5,136,6,18490.0,0,18490,"{'CASA': 104, 'MAGAZZINO': 6, 'MIXED': 11, 'BOTTEGA': 10, 'OTHER': 2, 'INVIAMENTO': 1}"
1401155,2003,1721,291037.5,5034662.5,48,4,23945.0,0,23945,"{'CASA': 39, 'INVIAMENTO': 4, 'MIXED': 2, 'BOTTEGA': 3}"
1908856,2515,2060,291376.5,5034150.5,46,5,20782.0,0,20782,"{'CASA': 39, 'MIXED': 1, 'MAGAZZINO': 3, 'BOTTEGA': 1, 'INVIAMENTO': 2}"
1180890,1860,3740,293056.5,5034805.5,38,4,12400.0,0,12400,"{'CASA': 28, 'BOTTEGA': 3, 'INVIAMENTO': 4, 'MIXED': 3}"
1169071,1852,3409,292725.5,5034813.5,47,6,24007.0,0,24007,"{'INVIAMENTO': 6, 'OTHER': 3, 'MIXED': 5, 'CASA': 30, 'BOTTEGA': 2, 'MAGAZZINO': 1}"
1404193,2005,2312,291628.5,5034660.5,510,6,62072.0,0,62072,"{'CASA': 239, 'MIXED': 86, 'BOTTEGA': 128, 'MAGAZZINO': 16, 'INVIAMENTO': 16, 'OTHER': 12}"
1203926,1875,2112,291428.5,5034790.5,318,6,22954.0,0,22954,"{'CASA': 180, 'MIXED': 49, 'BOTTEGA': 47, 'INVIAMENTO': 16, 'MAGAZZINO': 9, 'OTHER': 9}"
59399,643,2151,291467.5,5036022.5,54,4,17954.0,0,17954,"{'CASA': 48, 'MAGAZZINO': 2, 'MIXED': 3, 'OTHER': 1}"
1326232,1950,3076,292392.5,5034715.5,29,4,15130.0,0,15130,"{'BOTTEGA': 3, 'TRAGHETTO': 5, 'CASA': 20, 'MIXED': 1}"
354540,1157,1770,291086.5,5035508.5,82,5,23927.0,0,23927,"{'CASA': 59, 'BOTTEGA': 5, 'MIXED': 7, 'OTHER': 1, 'INVIAMENTO': 1}"
109839,745,1805,291121.5,5035920.5,183,6,37515.0,0,37515,"{'CASA': 130, 'MAGAZZINO': 4, 'MIXED': 19, 'OTHER': 10, 'INVIAMENTO': 3, 'BOTTEGA': 16}"
1282383,1921,940,290256.5,5034744.5,178,5,27478.0,0,27478,"{'CASA': 159, 'BOTTEGA': 6, 'MIXED': 9, 'INVIAMENTO': 1, 'MAGAZZINO': 1}"
311726,1094,2618,291934.5,5035571.5,57,3,15514.0,0,15514,"{'MIXED': 4, 'CASA': 49, 'MAGAZZINO': 3}"
1452178,2039,3994,293310.5,5034626.5,44,4,17932.0,0,17932,"{'CASA': 34, 'BOTTEGA': 3, 'INVIAMENTO': 4, 'MIXED': 3}"
210113,932,2360,291676.5,5035733.5,38,5,13082.0,0,13082,"{'CASA': 26, 'MIXED': 6, 'INVIAMENTO': 1, 'BOTTEGA': 3, 'MAGAZZINO': 2}"
1144714,1835,2147,291463.5,5034830.5,467,6,31403.0,0,31403,"{'CASA': 210, 'MIXED': 112, 'BOTTEGA': 93, 'INVIAMENTO': 19, 'MAGAZZINO': 15, 'OTHER': 9}"
1153971,1841,3059,292375.5,5034824.5,47,5,27470.0,0,27470,"{'CASA': 33, 'OTHER': 2, 'MIXED': 6, 'BOTTEGA': 5, 'INVIAMENTO': 1}"
982871,1722,1069,290385.5,5034943.5,70,4,24024.0,0,24024,"{'CASA': 61, 'MIXED': 4, 'BOTTEGA': 3, 'INVIAMENTO': 2}"
1020121,1746,936,290252.5,5034919.5,20,2,9172.0,0,9172,"{'CASA': 19, 'INVIAMENTO': 1}"
731808,1541,1767,291083.5,5035124.5,78,5,45640.0,0,45640,"{'CASA': 45, 'BOTTEGA': 8, 'MIXED': 8, 'OTHER': 1, 'INVIAMENTO': 4}"
300752,1077,2319,291635.5,5035588.5,122,5,18797.0,0,18797,"{'CASA': 94, 'MIXED': 10, 'BOTTEGA': 9, 'MAGAZZINO': 5, 'OTHER': 2}"
820469,1610,2254,291570.5,5035055.5,788,7,51451.0,0,51451,"{'CASA': 130, 'MAGAZZINO': 43, 'MIXED': 149, 'BOTTEGA': 373, 'INVIAMENTO': 7, 'TRAGHETTO': 48, 'OTHER': 11}"
1685961,2198,1535,290851.5,5034467.5,78,4,25557.0,0,25557,"{'CASA': 70, 'MIXED': 5, 'BOTTEGA': 2, 'INVIAMENTO': 1}"
481059,1299,1885,291201.5,5035366.5,111,6,30522.0,0,30522,"{'CASA': 74, 'MAGAZZINO': 2, 'BOTTEGA': 7, 'MIXED': 8, 'OTHER': 1, 'INVIAMENTO': 3}"
1124764,1821,3221,292537.5,5034844.5,46,5,38977.0,0,38977,"{'MIXED': 7, 'CASA': 33, 'BOTTEGA': 4, 'OTHER': 1, 'TRAGHETTO': 1}"
71095,668,1420,290736.5,5035997.5,49,6,9681.0,0,9681,"{'MIXED': 3, 'CASA': 39, 'BOTTEGA': 1, 'INVIAMENTO': 2, 'MAGAZZINO': 3, 'OTHER': 1}"
1895372,2487,1799,291115.5,5034178.5,0,0,655.0,0,655,{}
1826500,2373,3748,293064.5,5034292.5,80,6,23190.0,0,23190,"{'INVIAMENTO': 1, 'CASA': 73, 'MIXED': 1, 'OTHER': 1, 'BOTTEGA': 3, 'MAGAZZINO': 1}"
1879138,2455,1803,291119.5,5034210.5,62,4,22519.0,0,22519,"{'CASA': 53, 'MIXED': 5, 'INVIAMENTO': 2, 'BOTTEGA': 2}"
277921,1044,1602,290918.5,5035621.5,41,5,10413.0,0,10413,"{'CASA': 34, 'MAGAZZINO': 1, 'MIXED': 2, 'BOTTEGA': 2, 'INVIAMENTO': 2}"
239108,982,2316,291632.5,5035683.5,58,5,15641.0,0,15641,"{'CASA': 42, 'MIXED': 8, 'INVIAMENTO': 1, 'BOTTEGA': 4, 'MAGAZZINO': 3}"
929028,1688,1237,290553.5,5034977.5,102,4,23237.0,0,23237,"{'BOTTEGA': 9, 'CASA': 78, 'MIXED': 10, 'INVIAMENTO': 5}"
800370,1595,2870,292186.5,5035070.5,111,5,26858.0,0,26858,"{'CASA': 64, 'BOTTEGA': 20, 'MIXED': 21, 'INVIAMENTO': 3, 'MAGAZZINO': 3}"
807356,1601,994,290310.5,5035064.5,39,4,18983.0,0,18983,"{'BOTTEGA': 1, 'CASA': 36, 'INVIAMENTO': 1, 'MAGAZZINO': 1}"
16799,533,1610,290926.5,5036132.5,64,6,20472.0,0,20472,"{'MIXED': 7, 'CASA': 50, 'BOTTEGA': 1, 'INVIAMENTO': 2, 'MAGAZZINO': 3, 'OTHER': 1}"
924494,1685,1797,291113.5,5034980.5,49,4,36807.0,0,36807,"{'BOTTEGA': 9, 'MIXED': 10, 'CASA': 27, 'INVIAMENTO': 3}"
491785,1309,2636,291952.5,5035356.5,131,6,27277.0,0,27277,"{'CASA': 108, 'MIXED': 10, 'MAGAZZINO': 6, 'BOTTEGA': 3, 'OTHER': 1, 'INVIAMENTO': 2}"
1088880,1794,2846,292162.5,5034871.5,126,6,32447.0,0,32447,"{'CASA': 62, 'OTHER': 2, 'BOTTEGA': 29, 'MIXED': 28, 'INVIAMENTO': 2, 'MAGAZZINO': 3}"
608931,1431,2897,292213.5,5035234.5,39,5,11031.0,0,11031,"{'CASA': 22, 'BOTTEGA': 8, 'MIXED': 6, 'INVIAMENTO': 2, 'MAGAZZINO': 1}"
